Urinary incontinence,"Inability to control urination, leading to leakage of urine."
Increased appetite,"A feeling of hunger more often than usual, possibly indicating hormonal imbalance."
Dehydration,"A condition where the body lacks sufficient water, often causing dizziness and fatigue."
Blood clots,"Solid masses of blood that can form in blood vessels, leading to serious health risks."
Mucus in stool,"Presence of mucus in the stool, often indicating digestive issues or infections."
Painful breathing,"Discomfort or pain when breathing, often due to respiratory or chest issues."
Difficulty swallowing,"Difficulty in swallowing food or liquids, often caused by throat or esophageal problems."
Persistent hiccups,"Involuntary contractions of the diaphragm, lasting for an extended period."
Hot flashes,"Sudden feelings of heat, often experienced during menopause."
Night sweats,"Excessive sweating during sleep, often associated with hormonal changes or infections."
Dry skin,"Skin that feels rough or tight, often due to dehydration or environmental factors."
Hair loss,"Unintentional thinning or shedding of hair, often caused by stress, illness, or genetics."
Acne,"Skin condition characterized by pimples, blackheads, and whiteheads, often due to hormonal changes."
Sun sensitivity,"Increased sensitivity to sunlight, causing burning or rash more easily than usual."
Painful menstruation,"Severe pain associated with menstruation, often called dysmenorrhea."
Menstrual irregularities,"Irregularities in the menstrual cycle, such as missed periods or heavy bleeding."
Hot flashes,"A sudden sensation of heat in the body, commonly experienced during menopause."
Inability to focus,"Difficulty concentrating on tasks, often related to mental health or fatigue."
Lump in breast,"A palpable lump or mass in the breast, which may require medical evaluation."
Heavy bleeding,"Excessive bleeding, often associated with menstruation or injury."
Difficulty breathing,"Labored or shortness of breath, potentially related to respiratory conditions."
Swollen glands,"Enlargement of the lymph nodes, often caused by infection."
Sore eyes,"Discomfort or pain in the eyes, often caused by infection or fatigue."
Vision loss,"Partial or complete loss of sight, requiring immediate medical attention."
Paracetamol,"A commonly used pain reliever and fever reducer."
Ibuprofen,"A nonsteroidal anti-inflammatory drug (NSAID) used to reduce fever, pain, and inflammation."
Aspirin,"A medication used to reduce pain, fever, and inflammation; also used for heart protection."
Amoxicillin,"An antibiotic used to treat a variety of bacterial infections."
Metformin,"A medication used to control high blood sugar in people with type 2 diabetes."
Lisinopril,"An ACE inhibitor used to treat high blood pressure and heart failure."
Simvastatin,"A statin medication used to lower cholesterol and reduce the risk of heart disease."
Hydrochlorothiazide,"A diuretic used to treat high blood pressure and swelling caused by fluid retention."
Atorvastatin,"A cholesterol-lowering medication used to prevent heart disease and stroke."
Alprazolam,"A benzodiazepine used to treat anxiety and panic disorders."
Diazepam,"A medication used to treat anxiety, alcohol withdrawal, and seizures."
Lorazepam,"A sedative used to treat anxiety and insomnia."
Clonazepam,"A medication used to treat seizure disorders and panic attacks."
Cetirizine,"An antihistamine used to treat allergy symptoms such as sneezing and itching."
Loratadine,"An antihistamine used to relieve allergy symptoms like runny nose and hives."
Diphenhydramine,"An antihistamine commonly used to treat allergy symptoms, motion sickness, and sleep problems."
Omeprazole,"A proton pump inhibitor used to treat acid reflux and stomach ulcers."
Pantoprazole,"A medication used to treat gastroesophageal reflux disease (GERD) and stomach ulcers."
Ranitidine,"An H2 blocker used to reduce stomach acid and treat GERD and ulcers."
Esomeprazole,"A proton pump inhibitor used for treating GERD and other acid-related disorders."
Prednisone,"A corticosteroid used to treat inflammation, allergies, and autoimmune conditions."
Hydrocortisone,"A corticosteroid used to treat skin conditions, allergies, and inflammation."
Ciprofloxacin,"An antibiotic used to treat bacterial infections such as urinary tract infections and respiratory infections."
Levofloxacin,"An antibiotic used to treat various bacterial infections, including pneumonia and sinusitis."
Amoxicillin-Clavulanate,"A combination antibiotic used to treat bacterial infections such as sinusitis and ear infections."
Azithromycin,"An antibiotic used to treat infections such as pneumonia, bronchitis, and sexually transmitted infections."
Doxycycline,"An antibiotic used to treat a variety of bacterial infections, including acne and Lyme disease."
Tetracycline,"An antibiotic used to treat infections like acne, respiratory infections, and urinary tract infections."
Fluoxetine,"An antidepressant in the SSRI class used to treat depression, anxiety, and OCD."
Sertraline,"An SSRI antidepressant used to treat depression, anxiety disorders, and PTSD."
Citalopram,"An SSRI antidepressant used to treat depression and anxiety disorders."
Escitalopram,"An SSRI antidepressant used to treat major depressive disorder and anxiety disorders."
Venlafaxine,"A serotonin-norepinephrine reuptake inhibitor (SNRI) used to treat depression and anxiety."
Duloxetine,"An SNRI used to treat depression, anxiety, and nerve pain."
Mirtazapine,"An antidepressant used to treat major depressive disorder and anxiety."
Bupropion,"An antidepressant used to treat depression and help with smoking cessation."
Trazodone,"An antidepressant used primarily for insomnia and depression."
Zolpidem,"A sedative used to treat insomnia and difficulty sleeping."
Eszopiclone,"A medication used to treat insomnia by helping people fall and stay asleep."
Melatonin,"A natural hormone supplement used to regulate sleep-wake cycles and treat insomnia."
Levothyroxine,"A synthetic thyroid hormone used to treat hypothyroidism."
Methotrexate,"A chemotherapy drug also used to treat autoimmune diseases such as rheumatoid arthritis."
Sulfasalazine,"A medication used to treat inflammatory bowel diseases and rheumatoid arthritis."
Colchicine,"A medication used to treat gout attacks and familial Mediterranean fever."
Allopurinol,"A medication used to lower uric acid levels in the blood and prevent gout attacks."
Acetaminophen,"A pain reliever and fever reducer used for mild pain relief and reducing fever."
Hydroxychloroquine,"An anti-malarial drug used to treat malaria, lupus, and rheumatoid arthritis."
Naproxen,"An NSAID used to reduce inflammation, pain, and fever."
Meloxicam,"A nonsteroidal anti-inflammatory drug (NSAID) used to treat osteoarthritis and rheumatoid arthritis."
Baclofen,"A muscle relaxant used to treat muscle spasticity and pain."
Cyclobenzaprine,"A muscle relaxant used to treat muscle spasms and pain."
Pregabalin,"A medication used to treat nerve pain, fibromyalgia, and seizures."
Gabapentin,"A drug used to treat nerve pain and seizures."
Lyrica,"A brand name for pregabalin, used to treat nerve pain and fibromyalgia."
Amiodarone,"A medication used to treat and prevent serious heart rhythm problems."
Warfarin,"An anticoagulant (blood thinner) used to prevent blood clots."
Heparin,"A blood thinner used to prevent and treat blood clots."
Enoxaparin,"An anticoagulant used to prevent and treat deep vein thrombosis and pulmonary embolism."
Rivaroxaban,"An anticoagulant used to prevent and treat blood clots and strokes."
Apixaban,"A blood thinner used to reduce the risk of stroke and blood clots."
Dabigatran,"An anticoagulant used to prevent strokes and blood clots."
Nitroglycerin,"A medication used to relieve chest pain (angina) and treat heart failure."
Furosemide,"A diuretic used to treat fluid retention caused by heart failure, kidney disease, or liver disease."
Spironolactone,"A diuretic used to treat fluid retention and high blood pressure."
Chloroquine,"An anti-malarial drug also used to treat autoimmune diseases."
Clindamycin,"An antibiotic used to treat bacterial infections, including those caused by staphylococcus and streptococcus."
Mupirocin,"An antibiotic ointment used to treat skin infections like impetigo."
Benzonatate,"A cough suppressant used to relieve coughing."
Hydroxyzine,"An antihistamine used to treat anxiety, nausea, and sleep issues."
Fluticasone,"A corticosteroid used to treat allergies, asthma, and skin conditions."
Triamcinolone,"A corticosteroid used to treat inflammation and autoimmune disorders."
Ranitidine,"A medication that reduces stomach acid, used to treat GERD and ulcers."
Lorazepam,"A benzodiazepine used to treat anxiety, seizures, and insomnia."
Zidovudine,"An antiretroviral medication used to treat HIV infections."
Naltrexone,"A medication used to treat alcohol dependence and opioid addiction."
Methadone,"A medication used to treat opioid addiction and chronic pain."
Loperamide,"An anti-diarrheal medication used to reduce symptoms of diarrhea."
Levocetirizine,"An antihistamine used to treat allergy symptoms and hay fever."
Bromhexine,"A medication used to treat respiratory conditions and relieve mucus buildup."
Dexlansoprazole,"A proton pump inhibitor used to treat acid reflux and ulcers."
Diabetes Mellitus,"A group of diseases that affect how the body processes blood sugar (glucose)."
Hypertension,"A condition in which the blood pressure in the arteries is consistently elevated."
Asthma,"A respiratory condition characterized by episodes of airflow obstruction and difficulty breathing."
Chronic Obstructive Pulmonary Disease (COPD),"A group of lung diseases that block airflow and make it difficult to breathe."
Cancer,"A broad group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body."
Stroke,"A medical emergency that occurs when the blood supply to part of the brain is interrupted or reduced."
Heart Disease,"A range of conditions that affect the heart, including coronary artery disease, heart attack, and heart failure."
Alzheimer's Disease,"A progressive neurological disease that causes memory loss and cognitive decline."
Parkinson's Disease,"A progressive nervous system disorder that affects movement and causes tremors, stiffness, and balance issues."
Arthritis,"Inflammation of one or more joints, causing pain and stiffness."
Osteoarthritis,"The most common form of arthritis, caused by wear and tear on the joints."
Rheumatoid Arthritis,"An autoimmune disorder that causes chronic inflammation of the joints."
Influenza (Flu),"A contagious respiratory illness caused by influenza viruses, leading to fever, chills, and fatigue."
Tuberculosis,"An infectious disease caused by bacteria that primarily affects the lungs."
HIV/AIDS,"A virus that attacks the immune system and weakens the body's ability to fight infections."
Pneumonia,"An infection that inflames the air sacs in one or both lungs, leading to difficulty breathing."
Bronchitis,"Inflammation of the bronchial tubes, leading to coughing, mucus production, and difficulty breathing."
Epilepsy,"A neurological disorder marked by recurrent, unprovoked seizures."
Multiple Sclerosis,"A disease that affects the central nervous system, causing nerve damage and impairing communication between the brain and body."
Migraine,"A type of headache often accompanied by nausea, vomiting, and sensitivity to light and sound."
Celiac Disease,"An autoimmune disorder where ingestion of gluten damages the small intestine."
Liver Cirrhosis,"Scarring of the liver tissue, often caused by alcohol consumption or chronic viral infections."
Kidney Disease,"A condition that impairs kidney function, often caused by diabetes, hypertension, or infection."
Chronic Kidney Disease,"A long-term condition where the kidneys do not function properly, often progressing to kidney failure."
Gallstones,"Hard deposits that form in the gallbladder and can block the normal flow of bile."
Gastroesophageal Reflux Disease (GERD),"A chronic digestive condition where stomach acid or bile irritates the food pipe lining."
Irritable Bowel Syndrome (IBS),"A gastrointestinal disorder causing symptoms like bloating, diarrhea, and abdominal pain."
Crohn's Disease,"An inflammatory bowel disease that causes inflammation in the digestive tract."
Ulcerative Colitis,"A chronic inflammatory bowel disease that causes long-lasting inflammation and ulcers in the colon."
Peptic Ulcer,"A sore that develops on the lining of the stomach, small intestine, or esophagus."
Anemia,"A condition in which the body lacks enough healthy red blood cells to carry adequate oxygen to tissues."
Sickle Cell Anemia,"A genetic blood disorder where red blood cells become rigid and crescent-shaped, leading to blockages."
Thalassemia,"A genetic blood disorder characterized by abnormal hemoglobin production, leading to anemia."
Hemophilia,"A genetic disorder in which blood does not clot properly, leading to excessive bleeding."
Leukemia,"A type of cancer that affects blood and bone marrow, leading to the overproduction of abnormal white blood cells."
Lymphoma,"A cancer of the lymphatic system, which is part of the immune system."
Melanoma,"A type of skin cancer that develops from melanocytes, the cells responsible for pigment."
Breast Cancer,"A type of cancer that originates in the cells of the breast."
Prostate Cancer,"A type of cancer that occurs in the prostate gland, which produces semen."
Colorectal Cancer,"Cancer that affects the colon or rectum."
Ovarian Cancer,"A type of cancer that begins in the ovaries and can spread to other parts of the body."
Endometrial Cancer,"Cancer that begins in the lining of the uterus (endometrium)."
Lung Cancer,"A type of cancer that begins in the lungs, often caused by smoking or environmental factors."
Pancreatic Cancer,"A type of cancer that begins in the pancreas, often diagnosed at an advanced stage."
Chronic Fatigue Syndrome,"A condition characterized by extreme fatigue that doesn’t improve with rest."
Depression,"A mood disorder characterized by persistent feelings of sadness, hopelessness, and loss of interest in activities."
Anxiety Disorders,"A group of mental health disorders characterized by excessive fear or worry."
Bipolar Disorder,"A mental health condition characterized by extreme mood swings that include emotional highs (mania or hypomania) and lows (depression)."
Schizophrenia,"A severe mental disorder that affects how a person thinks, feels, and behaves, often causing delusions and hallucinations."
Autism Spectrum Disorder,"A developmental disorder that affects social interaction, communication, and behavior."
Obsessive-Compulsive Disorder (OCD),"A mental health condition characterized by intrusive thoughts (obsessions) and repetitive behaviors (compulsions)."
Post-Traumatic Stress Disorder (PTSD),"A mental health disorder triggered by experiencing or witnessing a traumatic event."
Eating Disorders,"A group of mental health conditions characterized by unhealthy eating habits, such as anorexia nervosa and bulimia."
Cystic Fibrosis,"A genetic disorder that affects the lungs and digestive system, causing thick mucus buildup."
Huntington's Disease,"A hereditary, progressive brain disorder that leads to motor, cognitive, and psychiatric symptoms."
Amyotrophic Lateral Sclerosis (ALS),"A neurodegenerative disease that affects nerve cells responsible for controlling voluntary muscles."
Bell's Palsy,"A condition that causes sudden, temporary weakness or paralysis of the muscles on one side of the face."
Gout,"A type of arthritis characterized by sudden and severe pain, swelling, and redness, often affecting the big toe."
Psoriasis,"A chronic autoimmune condition that leads to the rapid growth of skin cells, causing red, scaly patches."
Eczema,"A condition that makes the skin red, inflamed, and itchy, often triggered by allergens or irritants."
Acne,"A skin condition that causes pimples, blackheads, and cysts due to clogged hair follicles."
Rosacea,"A chronic skin condition that causes redness, pimples, and visible blood vessels, often on the face."
Hepatitis,"Inflammation of the liver, typically caused by viral infections, alcohol, or autoimmune diseases."
HIV/AIDS,"Human immunodeficiency virus (HIV) attacks the immune system, leading to acquired immune deficiency syndrome (AIDS) if untreated."
Zika Virus,"A mosquito-borne viral infection that can cause birth defects if contracted during pregnancy."
Chikungunya,"A viral disease transmitted by mosquitoes, causing fever and joint pain."
Dengue Fever,"A viral illness transmitted by mosquitoes, causing high fever, severe headache, and rash."
Malaria,"A mosquito-borne disease caused by Plasmodium parasites, leading to fever, chills, and flu-like symptoms."
Lyme Disease,"A bacterial infection transmitted by ticks, causing symptoms like fever, fatigue, and a characteristic skin rash."
Tuberculosis,"A bacterial infection that primarily affects the lungs but can spread to other organs."
Tetanus,"A bacterial infection causing muscle stiffness and spasms, often after a wound becomes contaminated."
Meningitis,"An infection of the protective membranes covering the brain and spinal cord, often caused by viruses or bacteria."
Hepatitis A,"A viral liver disease caused by consuming contaminated food or water."
Hepatitis B,"A viral infection of the liver, often spread through blood or bodily fluids."
Hepatitis C,"A viral infection of the liver, often spread through blood and sometimes leading to cirrhosis."
Chickenpox,"A highly contagious viral infection characterized by itchy skin rashes and flu-like symptoms."
Shingles,"A reactivation of the chickenpox virus, causing painful skin rashes and blisters."
Measles,"A viral infection characterized by a red, blotchy skin rash, fever, and respiratory symptoms."
Whooping Cough (Pertussis),"A highly contagious bacterial infection characterized by severe coughing fits."
Mumps,"A viral infection that causes swelling of the salivary glands, often affecting children."
Rubella,"A contagious viral infection that causes a distinctive red rash, also known as German measles."
